Date,Open,High,Low,Close,Volume,Adj Close
2013/3/19,54.79,54.86,53.93,54.19,2482700,48.38
2013/3/20,54.49,54.52,53.64,53.88,2143700,48.91
2013/3/21,53.28,53.83,53.14,53.3,1636400,48.39
2013/3/22,53.52,53.85,53.25,53.46,1622400,48.53
2013/3/25,53.63,53.7,52.55,52.83,1926500,47.96
2013/3/26,53.16,53.36,52.93,53.21,1898300,48.3
2013/3/27,52.48,52.93,52.43,52.91,1571000,48.03
2013/3/28,53.51,53.62,53.23,53.34,1402900,48.42
2013/4/1,53.35,53.54,52.96,53.09,832200,48.2
2013/4/2,53.58,53.86,53.43,53.68,1428600,48.73
2013/4/3,53.58,53.64,52.83,52.91,1042800,48.03
2013/4/4,52.77,53.1,52.61,52.91,1258600,48.03
2013/4/5,52.07,52.59,51.82,52.53,1519700,47.69
2013/4/8,51.9,52.3,51.81,52.3,1588200,47.48
2013/4/9,52.28,52.87,52.24,52.64,1333300,47.79
2013/4/10,52.85,53.26,52.85,53.07,1257000,48.18
2013/4/11,53.31,53.53,53.16,53.25,942800,48.34
2013/4/12,52.76,53.13,52.63,53.07,821600,48.18
2013/4/15,52.2,52.39,51.59,51.61,1703600,46.85
2013/4/16,52.14,52.29,51.75,52.26,1207600,47.44
2013/4/17,51.45,51.48,50.96,51.27,1750600,46.54
2013/4/18,51.06,51.06,50.58,50.88,1282200,46.19
2013/4/19,51.73,51.96,51.6,51.91,1159100,47.12
2013/4/22,52.15,52.41,51.65,52.2,1043400,47.39
2013/4/23,52.47,52.74,52.29,52.53,918400,47.69
2013/4/24,52.95,53.32,52.94,53.15,1118800,48.25
2013/4/25,53.3,53.52,53.25,53.33,1132100,48.41
2013/4/26,53.83,54.3,53.68,54.26,1297100,49.26
2013/4/29,54.37,54.73,54.15,54.61,831400,49.58
2013/4/30,54.93,55.11,54.57,54.86,1119900,49.8
2013/5/1,55.38,55.39,54.76,54.8,873900,49.75
2013/5/2,54.73,55.32,54.64,55.3,793500,50.2
2013/5/3,55.73,55.93,55.52,55.72,821800,50.58
2013/5/6,55.63,55.91,55.56,55.8,783000,50.66
2013/5/7,56.96,57.06,56.66,57,1593200,51.75
2013/5/8,57.19,57.39,56.96,57.06,2064200,51.8
2013/5/9,56.64,56.87,56.33,56.52,1080100,51.31
2013/5/10,56.94,57.21,56.84,57.21,2185900,51.94
2013/5/13,56.73,56.82,56.45,56.64,1122300,51.42
2013/5/14,56.67,57.08,56.67,57.06,895800,51.8
2013/5/15,57.47,57.56,57.11,57.39,2032200,52.1
2013/5/16,57.27,57.59,57.08,57.14,1072200,51.87
2013/5/17,57.24,57.82,57.1,57.77,1182000,52.44
2013/5/20,58,58.71,57.97,58.61,1936200,53.21
2013/5/21,57.86,58.28,57.76,58.17,1368600,52.81
2013/5/22,57.99,58.36,57.16,57.26,1539400,52.43
2013/5/23,56.11,56.47,55.65,56.26,1426000,51.52
2013/5/24,55.17,55.35,54.98,55.35,1110200,50.68
2013/5/28,56.55,56.75,55.68,55.9,1037600,51.19
